Pit_1,Pit_2,Pit_3,Pit_4,Pit_5,Pit_6,Pit_7,Pit_8,Pit_9,Pit_10,Pit_11,Pit_12,current_player,player_territory,policy
4,4,4,4,4,4,4,4,4,4,4,4,0,6,4
0,1,6,6,2,7,1,6,1,6,6,6,1,6,11
2,0,8,8,0,0,2,7,2,7,7,1,0,6,2
3,1,1,10,2,2,0,8,3,8,0,2,1,6,11
1,1,0,1,0,0,1,9,0,9,1,1,0,6,0
0,0,1,0,1,1,1,9,0,9,1,1,1,6,10
1,1,1,0,1,1,1,9,0,9,0,0,0,6,0
0,0,2,1,1,1,1,9,0,9,0,0,1,6,7
0,2,0,2,0,2,0,1,0,11,0,2,0,6,5
1,3,1,3,1,1,2,1,2,1,1,3,1,6,7
1,3,1,3,1,1,2,0,0,2,2,0,0,6,3
0,0,0,1,0,3,1,0,2,1,3,1,1,6,6
0,0,0,1,0,3,0,1,2,1,3,1,0,6,3
0,0,0,0,1,3,0,1,2,1,3,1,1,6,9
0,0,0,0,1,3,0,1,2,0,0,1,0,6,5
1,1,0,0,1,0,1,2,0,1,1,0,1,6,9
0,2,1,0,1,0,1,2,0,0,0,1,0,6,4
0,2,1,0,0,1,1,2,0,0,0,1,1,6,11
1,2,1,0,0,1,1,2,0,0,0,0,0,6,0
0,0,2,1,1,1,1,2,0,0,0,0,1,6,7
0,0,2,1,1,1,1,0,1,1,0,0,0,6,5
4,4,4,4,4,4,4,4,4,4,4,4,0,6,1
6,2,7,1,6,1,6,6,6,0,1,6,1,6,10
8,0,8,2,7,2,0,7,7,1,1,1,0,6,0
2,0,11,1,1,0,2,9,1,3,3,3,1,6,6
2,0,11,1,1,0,0,10,0,0,0,3,0,6,4
2,0,11,1,0,1,0,10,0,0,0,3,1,6,7
3,1,12,2,1,0,1,1,1,1,1,0,0,6,3
3,1,12,0,2,1,1,1,1,1,1,0,1,6,7
0,1,12,0,2,1,1,0,0,2,0,1,0,6,4
0,1,12,0,0,2,0,1,1,2,0,1,1,6,7
0,1,12,0,0,2,0,0,0,3,1,1,0,6,5
0,1,12,0,0,0,1,1,0,3,1,1,1,6,7
0,1,12,0,0,0,1,0,1,3,1,1,0,6,2
